,0
1000,13.0
1001,13.0
1002,13.0
1003,13.0
1004,13.0
1005,13.0
1006,12.666666666666666
1007,12.333333333333334
1008,12.0
1009,12.0
1010,12.0
1011,12.0
1012,11.0
1013,12.0
1014,13.0
1015,13.0
1016,13.5
1017,14.0
1018,14.0
1019,15.0
1020,16.0
1021,16.0
1022,16.0
1023,16.0
1024,18.0
1025,17.0
1026,19.0
1027,19.0
1028,19.5
1029,20.0
1030,20.0
1031,20.0
1032,20.0
1033,21.0
1034,21.0
1035,21.0
1036,21.0
1037,21.0
1038,20.0
1039,20.0
1040,19.0
1041,17.0
1042,16.0
1043,16.0
1044,15.5
1045,15.0
1046,15.0
1047,14.0
1048,14.0
1049,14.0
1050,14.0
1051,14.0
1052,14.0
1053,14.0
1054,14.0
1055,14.0
1056,14.0
1057,14.0
1058,14.0
1059,14.0
1060,14.0
1061,14.0
1062,14.0
1063,14.0
1064,14.0
1065,14.0
1066,14.0
1067,14.0
1068,14.0
1069,14.5
1070,15.0
1071,15.0
1072,15.0
1073,16.0
1074,16.0
1075,16.5
1076,17.0
1077,18.0
1078,18.0
1079,19.5
1080,21.0
1081,20.0
1082,20.0
1083,19.0
1084,19.0
1085,18.5
1086,18.0
1087,18.0
1088,17.0
1089,17.0
1090,16.0
1091,17.0
1092,16.0
1093,15.0
1094,16.0
1095,15.0
1096,14.0
1097,14.0
1098,13.5
1099,13.0
1100,13.0
1101,15.0
1102,14.333333333333334
1103,13.666666666666666
1104,13.0
1105,12.0
1106,13.0
1107,14.0
1108,14.0
1109,14.0
1110,14.0
1111,14.0
1112,15.0
1113,15.0
1114,16.0
1115,17.0
1116,17.5
1117,18.0
1118,19.0
1119,20.0
1120,21.0
1121,22.0
1122,23.0
1123,22.0
1124,22.0
1125,23.0
1126,24.0
1127,23.0
1128,23.0
1129,23.0
1130,24.0
1131,24.0
1132,24.0
1133,23.0
1134,22.0
1135,21.0
1136,20.0
1137,20.0
1138,17.0
1139,16.0
1140,16.0
1141,15.0
1142,15.0
1143,14.5
1144,14.0
1145,14.0
1146,15.0
1147,14.0
1148,14.0
1149,14.0
1150,14.0
1151,14.0
1152,14.0
1153,13.0
1154,12.0
1155,13.0
1156,13.0
1157,14.0
1158,15.0
1159,15.0
1160,16.0
1161,17.0
1162,17.0
1163,18.0
1164,19.0
1165,19.5
1166,20.0
1167,20.0
1168,21.0
1169,21.0
1170,21.0
1171,22.0
1172,22.0
1173,22.0
1174,22.0
1175,23.0
1176,23.0
1177,23.0
1178,23.0
1179,23.0
1180,22.0
1181,22.0
1182,22.0
1183,21.0
1184,21.0
1185,20.0
1186,19.0
1187,18.5
1188,18.0
1189,18.0
1190,18.0
1191,17.0
1192,17.0
1193,16.0
1194,14.5
1195,13.0
1196,12.5
1197,12.0
1198,10.0
1199,9.5
1200,9.0
1201,10.0
1202,9.0
1203,9.0
1204,8.0
1205,10.0
1206,12.0
1207,14.0
1208,15.0
1209,16.0
1210,16.0
1211,17.0
1212,18.0
1213,19.0
1214,19.0
1215,19.0
1216,20.0
1217,21.0
1218,22.0
1219,22.0
1220,22.0
1221,22.0
1222,22.0
1223,22.0
1224,22.0
1225,23.0
1226,23.0
1227,22.0
1228,22.0
1229,22.0
1230,21.0
1231,21.0
1232,20.0
1233,20.0
1234,18.0
1235,18.0
1236,17.0
1237,17.0
1238,16.0
1239,16.0
